      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  1996,     1,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,     1,    0.177,    0.208,    0.277,    0.320,    0.346,    0.277,    0.301,    0.223,    0.319,    0.303,    0.320,    0.251,    0.285,    0.255,    0.238,    0.305,    0.208,    0.346,    0.269,    0.177
  2016,     1,    0.421,    0.529,    0.712,    0.805,    0.835,    0.714,    0.718,    0.575,    0.771,    0.772,    0.805,    0.609,    0.698,    0.628,    0.607,    0.781,    0.529,    0.835,    0.712,    0.421
  2026,     1,    0.752,    0.997,    1.267,    1.430,    1.431,    1.320,    1.267,    1.063,    1.394,    1.391,    1.431,    1.059,    1.258,    1.192,    1.146,    1.404,    0.997,    1.430,    1.321,    0.752
  2036,     1,    1.027,    1.400,    1.734,    1.884,    1.942,    1.824,    1.672,    1.480,    1.942,    1.882,    1.838,    1.400,    1.684,    1.734,    1.614,    1.875,    1.430,    1.824,    1.884,    1.027
  2046,     1,    1.387,    1.834,    2.235,    2.491,    2.601,    2.351,    2.187,    1.959,    2.601,    2.446,    2.235,    1.834,    2.169,    2.397,    2.107,    2.409,    1.916,    2.246,    2.491,    1.387
  2056,     1,    1.881,    2.361,    2.761,    3.219,    3.328,    2.904,    2.802,    2.563,    3.328,    3.089,    2.727,    2.361,    2.704,    3.105,    2.615,    3.064,    2.466,    2.761,    3.219,    1.881
  2066,     1,    2.527,    2.904,    3.374,    3.973,    4.038,    3.486,    3.477,    3.276,    4.038,    3.796,    3.349,    2.904,    3.246,    3.790,    3.148,    3.847,    3.094,    3.374,    3.973,    2.527
  2076,     1,    3.281,    3.406,    4.102,    4.729,    4.733,    4.133,    4.141,    4.069,    4.729,    4.537,    4.053,    3.406,    3.727,    4.467,    3.729,    4.616,    3.855,    4.102,    4.733,    3.281
  2086,     1,    3.879,    4.081,    4.844,    5.401,    5.405,    4.844,    4.787,    4.857,    5.401,    5.325,    4.726,    3.879,    4.114,    5.117,    4.316,    5.342,    4.712,    4.935,    5.405,    4.081
  1996,     2,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,     2,    0.201,    0.240,    0.305,    0.346,    0.375,    0.290,    0.333,    0.248,    0.346,    0.328,    0.335,    0.254,    0.328,    0.277,    0.268,    0.339,    0.240,    0.375,    0.305,    0.201
  2016,     2,    0.478,    0.612,    0.785,    0.864,    0.905,    0.760,    0.792,    0.633,    0.836,    0.837,    0.845,    0.616,    0.790,    0.676,    0.693,    0.864,    0.612,    0.905,    0.785,    0.478
  2026,     2,    0.847,    1.074,    1.410,    1.539,    1.549,    1.413,    1.403,    1.173,    1.511,    1.507,    1.515,    1.074,    1.410,    1.274,    1.289,    1.539,    1.137,    1.549,    1.431,    0.847
  2036,     2,    1.143,    1.436,    1.866,    2.036,    2.095,    1.966,    1.853,    1.618,    2.095,    2.036,    1.964,    1.436,    1.866,    1.839,    1.784,    2.031,    1.592,    1.968,    1.995,    1.143
  2046,     2,    1.524,    1.904,    2.417,    2.631,    2.789,    2.518,    2.423,    2.130,    2.789,    2.631,    2.410,    1.904,    2.395,    2.525,    2.281,    2.567,    2.092,    2.417,    2.610,    1.524
  2056,     2,    2.035,    2.470,    2.969,    3.355,    3.542,    3.079,    3.084,    2.763,    3.542,    3.303,    2.936,    2.470,    2.965,    3.258,    2.799,    3.226,    2.665,    2.969,    3.355,    2.035
  2066,     2,    2.694,    3.035,    3.635,    4.135,    4.266,    3.666,    3.792,    3.524,    4.266,    4.026,    3.584,    3.035,    3.530,    3.958,    3.355,    4.025,    3.340,    3.635,    4.135,    2.694
  2076,     2,    3.456,    3.548,    4.367,    4.928,    4.971,    4.337,    4.476,    4.367,    4.971,    4.785,    4.309,    3.548,    4.018,    4.657,    3.961,    4.836,    4.148,    4.412,    4.928,    3.456
  2086,     2,    4.030,    4.272,    5.133,    5.637,    5.656,    5.085,    5.133,    5.202,    5.656,    5.586,    5.016,    4.030,    4.421,    5.322,    4.563,    5.629,    5.044,    5.280,    5.637,    4.272
  1996,     3,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,     3,    0.200,    0.242,    0.305,    0.347,    0.370,    0.287,    0.332,    0.248,    0.347,    0.323,    0.330,    0.249,    0.329,    0.276,    0.271,    0.339,    0.242,    0.370,    0.305,    0.200
  2016,     3,    0.474,    0.603,    0.783,    0.863,    0.894,    0.756,    0.790,    0.632,    0.839,    0.829,    0.834,    0.603,    0.789,    0.673,    0.700,    0.863,    0.617,    0.894,    0.783,    0.474
  2026,     3,    0.840,    1.053,    1.407,    1.532,    1.532,    1.409,    1.405,    1.173,    1.517,    1.496,    1.500,    1.053,    1.407,    1.268,    1.299,    1.532,    1.143,    1.532,    1.426,    0.840
  2036,     3,    1.132,    1.413,    1.861,    2.028,    2.102,    1.963,    1.861,    1.618,    2.102,    2.028,    1.950,    1.413,    1.860,    1.831,    1.791,    2.018,    1.594,    1.947,    1.986,    1.132
  2046,     3,    1.510,    1.879,    2.401,    2.621,    2.794,    2.511,    2.436,    2.126,    2.794,    2.621,    2.401,    1.879,    2.391,    2.512,    2.280,    2.546,    2.087,    2.391,    2.598,    1.510
  2056,     3,    2.018,    2.439,    2.959,    3.339,    3.543,    3.064,    3.093,    2.746,    3.543,    3.289,    2.926,    2.439,    2.959,    3.236,    2.793,    3.199,    2.654,    2.935,    3.339,    2.018
  2066,     3,    2.667,    2.995,    3.593,    4.110,    4.258,    3.645,    3.794,    3.494,    4.258,    4.005,    3.569,    2.995,    3.516,    3.925,    3.343,    3.990,    3.329,    3.593,    4.110,    2.667
  2076,     3,    3.415,    3.492,    4.323,    4.891,    4.955,    4.308,    4.473,    4.323,    4.955,    4.753,    4.285,    3.492,    3.991,    4.611,    3.938,    4.796,    4.134,    4.361,    4.891,    3.415
  2086,     3,    3.958,    4.213,    5.127,    5.590,    5.631,    5.048,    5.127,    5.145,    5.631,    5.536,    4.984,    3.958,    4.380,    5.262,    4.524,    5.586,    5.023,    5.217,    5.590,    4.213
  1996,     4,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,     4,    0.160,    0.206,    0.269,    0.312,    0.334,    0.269,    0.291,    0.209,    0.312,    0.288,    0.311,    0.245,    0.284,    0.246,    0.234,    0.300,    0.206,    0.334,    0.268,    0.160
  2016,     4,    0.382,    0.523,    0.694,    0.777,    0.805,    0.695,    0.694,    0.547,    0.763,    0.742,    0.777,    0.581,    0.694,    0.600,    0.602,    0.763,    0.523,    0.805,    0.700,    0.382
  2026,     4,    0.686,    0.980,    1.261,    1.382,    1.388,    1.289,    1.228,    1.021,    1.388,    1.348,    1.378,    1.002,    1.261,    1.140,    1.134,    1.353,    0.980,    1.382,    1.293,    0.686
  2036,     4,    0.948,    1.313,    1.692,    1.836,    1.939,    1.779,    1.622,    1.430,    1.939,    1.836,    1.764,    1.313,    1.692,    1.661,    1.592,    1.790,    1.395,    1.767,    1.832,    0.948
